T,ρ,u,h,s,cv,cp,w
315.000,991.78000,175.164,175.920,0.5967,4.0631,4.1781,1533.00
320.000,989.71000,196.055,196.813,0.6625,4.0397,4.1790,1540.00
325.000,987.47000,216.952,217.711,0.7273,4.0155,4.1804,1545.70
330.000,985.07000,237.856,238.617,0.7912,3.9908,4.1822,1550.00
335.000,982.51800,258.770,259.534,0.8541,3.9656,4.1844,1553.20
340.000,979.82100,279.696,280.462,0.9161,3.9400,4.1869,1555.30
345.000,976.98600,300.635,301.403,0.9772,3.9142,4.1898,1556.20
350.000,974.01800,321.590,322.360,1.0375,3.8881,4.1931,1556.20
355.000,970.92000,342.562,343.334,1.0970,3.8619,4.1968,1555.30
360.000,967.69900,363.553,364.328,1.1558,3.8357,4.2009,1553.40
365.000,964.35500,384.566,385.344,1.2137,3.8096,4.2055,1550.70
370.000,960.89400,405.604,406.384,1.2710,3.7835,4.2107,1547.20
375.000,957.31600,426.668,427.452,1.3276,3.7576,4.2163,1542.90
380.000,953.62500,447.762,448.549,1.3834,3.7319,4.2226,1537.80
385.000,949.82100,468.889,469.679,1.4387,3.7064,4.2295,1532.10
390.000,945.90600,490.052,490.845,1.4933,3.6812,4.2370,1525.60
395.000,941.88000,511.254,512.050,1.5473,3.6563,4.2452,1518.50
400.000,937.74500,532.498,533.298,1.6008,3.6318,4.2542,1510.70
410.000,929.14500,575.131,575.938,1.7061,3.5838,4.2744,1493.20
420.000,920.10400,617.982,618.797,1.8094,3.5373,4.2980,1473.30
430.000,910.61300,661.087,661.910,1.9108,3.4924,4.3254,1451.10
440.000,900.65900,704.486,705.319,2.0106,3.4493,4.3570,1426.60
440.899,899.74100,708.402,709.235,2.0195,3.4455,4.3601,1424.30
440.899,3.91370,2574.010,2765.640,6.6836,1.8502,2.5695,498.34
450.000,3.81090,2591.530,2788.340,6.7346,1.7612,2.4320,505.86
460.000,3.70730,2609.880,2812.190,6.7870,1.7085,2.3456,513.27
470.000,3.61130,2627.650,2835.340,6.8368,1.6746,2.2872,520.21
480.000,3.52170,2645.020,2857.980,6.8845,1.6504,2.2438,526.85
490.000,3.43770,2662.080,2880.250,6.9304,1.6323,2.2101,533.24
500.000,3.35860,2678.900,2902.210,6.9747,1.6188,2.1837,539.44
510.000,3.28380,2695.540,2923.940,7.0178,1.6086,2.1627,545.46
520.000,3.21290,2712.050,2945.480,7.0596,1.6013,2.1462,551.33
530.000,3.14560,2728.440,2966.870,7.1003,1.5961,2.1331,557.06
540.000,3.08140,2744.760,2988.150,7.1401,1.5926,2.1229,562.68
550.000,3.02020,2761.010,3009.340,7.1790,1.5907,2.1151,568.18
560.000,2.96160,2777.220,3030.460,7.2171,1.5899,2.1091,573.57
570.000,2.90560,2793.400,3051.530,7.2543,1.5901,2.1048,578.88
580.000,2.85180,2809.570,3072.560,7.2909,1.5912,2.1018,584.10
590.000,2.80020,2825.730,3093.570,7.3268,1.5929,2.1000,589.23
600.000,2.75060,2841.900,3114.560,7.3621,1.5953,2.0991,594.29
610.000,2.70290,2858.070,3135.550,7.3968,1.5982,2.0991,599.28
620.000,2.65690,2874.260,3156.550,7.4310,1.6015,2.0998,604.20
630.000,2.61250,2890.480,3177.550,7.4646,1.6052,2.1011,609.06
640.000,2.56980,2906.720,3198.570,7.4977,1.6092,2.1030,613.85
650.000,2.52840,2922.990,3219.610,7.5303,1.6135,2.1053,618.59
675.000,2.43100,2963.830,3272.340,7.6099,1.6253,2.1129,630.20
700.000,2.34120,3004.930,3325.280,7.6869,1.6383,2.1225,641.49
725.000,2.25800,3046.330,3378.470,7.7616,1.6523,2.1337,652.50
750.000,2.18070,3088.050,3431.970,7.8341,1.6670,2.1460,663.25
775.000,2.10870,3130.120,3485.780,7.9047,1.6822,2.1593,673.75
800.000,2.04150,3172.560,3539.940,7.9735,1.6980,2.1734,684.03
825.000,1.97850,3215.370,3594.460,8.0406,1.7141,2.1881,694.10
850.000,1.91930,3258.580,3649.350,8.1061,1.7306,2.2033,703.97
900.000,1.81120,3346.210,3760.300,8.2329,1.7643,2.2350,723.18
950.000,1.71470,3435.490,3872.870,8.3547,1.7986,2.2678,741.72
1000.000,1.62820,3526.460,3987.100,8.4718,1.8332,2.3013,759.69
1050.000,1.55000,3619.140,4103.000,8.5849,1.8679,2.3350,777.13
1100.000,1.47910,3713.530,4220.600,8.6943,1.9024,2.3687,794.10
1150.000,1.41440,3809.620,4339.870,8.8004,1.9365,2.4022,810.64
1200.000,1.35520,3907.380,4460.800,8.9033,1.9701,2.4352,826.80
1250.000,1.30080,4006.790,4583.380,9.0034,2.0029,2.4676,842.60
1273.000,1.27720,4053.070,4640.300,9.0485,2.0177,2.4822,849.75
,,,,,,,
P=1.0MPa,,,,,,,
273.086,1000.30000,-0.294,0.706,-0.0011,4.2129,4.2152,1403.50
275.000,1000.39000,7.769,8.768,0.0283,4.2087,4.2093,1413.00
280.000,1000.35000,28.783,29.783,0.1041,4.1960,4.1973,1435.70
285.000,999.94200,49.747,50.747,0.1783,4.1812,4.1891,1455.90
290.000,999.22000,70.677,71.678,0.2511,4.1647,4.1836,1473.70
295.000,998.21600,91.585,92.587,0.3226,4.1466,4.1802,1489.40
300.000,996.96000,112.479,113.482,0.3928,4.1272,4.1781,1503.00
305.000,995.47500,133.365,134.370,0.4619,4.1066,4.1771,1514.80
310.000,993.77900,154.248,155.255,0.5298,4.0850,4.1770,1524.90
315.000,991.89000,175.132,176.141,0.5966,4.0624,4.1774,1533.40
320.000,989.81900,196.020,197.030,0.6624,4.0390,4.1784,1540.50
325.000,987.57900,216.913,217.926,0.7272,4.0149,4.1798,1546.10
330.000,985.17900,237.814,238.829,0.7910,3.9902,4.1816,1550.50
335.000,982.62700,258.725,259.743,0.8539,3.9650,4.1838,1553.70
340.000,979.93100,279.647,280.668,0.9159,3.9395,4.1863,1555.70
345.000,977.09600,300.583,301.606,0.9771,3.9136,4.1892,1556.70
350.000,974.12900,321.534,322.561,1.0374,3.8876,4.1925,1556.70
355.000,971.03300,342.502,343.532,1.0969,3.8615,4.1962,1555.80
360.000,967.81200,363.490,364.523,1.1556,3.8353,4.2004,1553.90
365.000,964.47000,384.500,385.537,1.2136,3.8092,4.2050,1551.20
370.000,961.01000,405.533,406.574,1.2708,3.7831,4.2101,1547.70
375.000,957.43400,426.594,427.638,1.3274,3.7572,4.2158,1543.40
380.000,953.74400,447.684,448.733,1.3832,3.7315,4.2220,1538.40
385.000,949.94200,468.807,469.860,1.4385,3.7061,4.2289,1532.60
390.000,946.02900,489.965,491.022,1.4931,3.6809,4.2364,1526.20
395.000,942.00600,511.163,512.225,1.5471,3.6560,4.2446,1519.10
400.000,937.87300,532.403,533.469,1.6005,3.6315,4.2535,1511.30
410.000,929.27900,575.026,576.102,1.7058,3.5835,4.2737,1493.90
420.000,920.24400,617.867,618.954,1.8091,3.5370,4.2972,1474.00
430.000,910.76000,660.961,662.059,1.9105,3.4922,4.3245,1451.80
440.000,900.81400,704.348,705.458,2.0103,3.4491,4.3561,1427.30
450.000,890.38600,748.074,749.197,2.1086,3.4076,4.3924,1400.60
453.028,887.12900,761.388,762.515,2.1381,3.3954,4.4045,1392.00
453.028,5.14500,2582.750,2777.110,6.5850,1.9271,2.7114,501.02
460.000,5.03760,2596.980,2795.490,6.6253,1.8387,2.5726,507.19
470.000,4.89600,2616.330,2820.570,6.6792,1.7677,2.4551,515.05
480.000,4.76580,2634.890,2844.720,6.7301,1.7239,2.3787,522.29
490.000,4.64510,2652.930,2868.220,6.7785,1.6930,2.3227,529.16
500.000,4.53230,2670.580,2891.220,6.8250,1.6699,2.2795,535.74
510.000,4.42650,2687.920,2913.840,6.8698,1.6523,2.2453,542.09
520.000,4.32680,2705.030,2936.150,6.9131,1.6389,2.2180,548.25
530.000,4.23250,2721.950,2958.210,6.9551,1.6288,2.1962,554.23
540.000,4.14310,2738.720,2980.090,6.9960,1.6213,2.1787,560.06
550.000,4.05810,2755.380,3001.800,7.0359,1.6159,2.1647,565.75
560.000,3.97710,2771.950,3023.390,7.0748,1.6123,2.1536,571.33
570.000,3.89980,2788.460,3044.880,7.1128,1.6101,2.1448,576.79
580.000,3.82580,2804.910,3066.290,7.1501,1.6090,2.1380,582.15
590.000,3.75500,2821.340,3087.650,7.1866,1.6090,2.1329,587.41
600.000,3.68710,2837.740,3108.960,7.2224,1.6098,2.1292,592.58
610.000,3.62180,2854.130,3130.230,7.2575,1.6114,2.1266,597.68
620.000,3.55910,2870.520,3151.490,7.2921,1.6135,2.1251,602.70
630.000,3.49860,2886.910,3172.740,7.3261,1.6161,2.1245,607.64
640.000,3.44040,2903.320,3193.980,7.3596,1.6193,2.1246,612.52
650.000,3.38430,2919.750,3215.230,7.3925,1.6227,2.1254,617.34
675.000,3.25210,2960.920,3268.410,7.4728,1.6329,2.1297,629.11
700.000,3.13050,3002.310,3321.740,7.5504,1.6447,2.1368,640.55
725.000,3.01820,3043.950,3375.270,7.6255,1.6576,2.1459,651.68
750.000,2.91400,3085.880,3429.050,7.6984,1.6715,2.1566,662.53
775.000,2.81700,3128.130,3483.110,7.7693,1.6862,2.1686,673.12
800.000,2.72650,3170.720,3537.490,7.8384,1.7014,2.1816,683.48
825.000,2.64180,3213.670,3592.200,7.9057,1.7171,2.1953,693.61
850.000,2.56240,3257.000,3647.260,7.9715,1.7332,2.2098,703.55
900.000,2.41740,3344.830,3758.500,8.0986,1.7663,2.2402,722.85
950.000,2.28820,3434.270,3871.300,8.2206,1.8003,2.2721,741.47
1000.000,2.17230,3525.380,3985.720,8.3380,1.8346,2.3048,759.50
1050.000,2.06780,3618.180,4101.790,8.4512,1.8691,2.3380,777.00
1100.000,1.97290,3712.660,4219.520,8.5608,1.9034,2.3713,794.01
1150.000,1.88650,3808.830,4338.910,8.6669,1.9373,2.4044,810.59
1200.000,1.80740,3906.660,4459.950,8.7699,1.9708,2.4371,826.77
1250.000,1.73470,4006.130,4582.610,8.8701,2.0035,2.4692,842.60
1273.000,1.70320,4052.430,4639.570,8.9152,2.0183,2.4838,849.77
,,,,,,,
P=2.0MPa,,,,,,,
273.012,1000.80000,-0.587,1.411,-0.0022,4.2084,4.2105,1404.70
275.000,1000.89000,7.778,9.776,0.0284,4.2042,4.2046,1414.60
280.000,1000.83000,28.770,30.769,0.1040,4.1918,4.1932,1437.30
285.000,1000.41000,49.715,51.714,0.1782,4.1773,4.1855,1457.50
290.000,999.68200,70.627,72.628,0.2509,4.1610,4.1804,1475.40
295.000,998.67000,91.518,93.521,0.3223,4.1432,4.1771,1491.00
300.000,997.40800,112.397,114.402,0.3925,4.1239,4.1753,1504.70
305.000,995.91700,133.268,135.276,0.4615,4.1035,4.1745,1516.50
310.000,994.21800,154.136,156.148,0.5294,4.0820,4.1745,1526.70
315.000,992.32600,175.006,177.022,0.5962,4.0596,4.1750,1535.20
320.000,990.25400,195.880,197.899,0.6620,4.0364,4.1761,1542.30
325.000,988.01400,216.759,218.783,0.7267,4.0124,4.1776,1547.90
330.000,985.61400,237.646,239.676,0.7905,3.9878,4.1794,1552.30
335.000,983.06400,258.544,260.578,0.8534,3.9628,4.1816,1555.50
340.000,980.37000,279.452,281.492,0.9154,3.9373,4.1842,1557.60
345.000,977.53800,300.374,302.420,0.9765,3.9116,4.1871,1558.60
350.000,974.57300,321.311,323.363,1.0367,3.8857,4.1903,1558.70
355.000,971.48100,342.266,344.324,1.0962,3.8596,4.1940,1557.80
360.000,968.26500,363.239,365.305,1.1549,3.8335,4.1982,1555.90
365.000,964.92800,384.234,386.307,1.2128,3.8075,4.2027,1553.30
370.000,961.47400,405.253,407.333,1.2700,3.7815,4.2078,1549.80
375.000,957.90500,426.298,428.386,1.3266,3.7557,4.2135,1545.60
380.000,954.22200,447.372,449.468,1.3824,3.7301,4.2197,1540.60
385.000,950.42700,468.479,470.583,1.4376,3.7047,4.2265,1534.90
390.000,946.52300,489.621,491.734,1.4922,3.6796,4.2339,1528.50
395.000,942.50800,510.801,512.923,1.5462,3.6548,4.2420,1521.40
400.000,938.38500,532.024,534.155,1.5996,3.6303,4.2508,1513.70
410.000,929.81200,574.610,576.761,1.7048,3.5824,4.2708,1496.40
420.000,920.80200,617.410,619.582,1.8080,3.5361,4.2941,1476.70
430.000,911.34600,660.460,662.654,1.9093,3.4913,4.3211,1454.60
440.000,901.43200,703.798,706.017,2.0090,3.4483,4.3522,1430.30
450.000,891.04100,747.470,749.715,2.1072,3.4069,4.3881,1403.70
460.000,880.14700,791.525,793.797,2.2041,3.3672,4.4294,1375.00
470.000,868.71600,836.021,838.323,2.2999,3.3292,4.4768,1343.90
480.000,856.70500,881.024,883.358,2.3947,3.2930,4.5316,1310.60
485.527,849.79800,906.145,908.498,2.4468,3.2737,4.5655,1291.20
485.527,10.04200,2599.120,2798.290,6.3390,2.1585,3.1910,504.70
490.000,9.88900,2609.960,2812.200,6.3675,2.0682,3.0364,509.47
500.000,9.57810,2632.560,2841.370,6.4265,1.9462,2.8185,518.77
510.000,9.29900,2653.760,2868.830,6.4808,1.8738,2.6822,527.02
520.000,9.04470,2674.020,2895.140,6.5319,1.8233,2.5841,534.66
530.000,8.81050,2693.590,2920.590,6.5804,1.7853,2.5087,541.89
540.000,8.59340,2712.630,2945.370,6.6267,1.7558,2.4489,548.78
550.000,8.39080,2731.250,2969.610,6.6712,1.7326,2.4007,555.40
560.000,8.20080,2749.530,2993.410,6.7141,1.7143,2.3614,561.78
570.000,8.02190,2767.540,3016.860,6.7556,1.6999,2.3292,567.96
580.000,7.85300,2785.330,3040.020,6.7959,1.6886,2.3028,573.96
590.000,7.69280,2802.950,3062.930,6.8350,1.6799,2.2809,579.79
600.000,7.54060,2820.420,3085.650,6.8732,1.6733,2.2629,585.49
610.000,7.39570,2837.770,3108.200,6.9105,1.6685,2.2480,591.05
620.000,7.25730,2855.030,3130.620,6.9470,1.6652,2.2358,596.49
630.000,7.12500,2872.220,3152.920,6.9826,1.6631,2.2258,601.82
640.000,6.99830,2889.350,3175.140,7.0176,1.6621,2.2177,607.06
650.000,6.87670,2906.440,3197.280,7.0520,1.6619,2.2112,612.20
675.000,6.59300,2949.070,3252.420,7.1352,1.6647,2.2008,624.68
700.000,6.33460,2991.650,3307.370,7.2151,1.6710,2.1965,636.71
725.000,6.09780,3034.290,3362.280,7.2922,1.6797,2.1968,648.34
750.000,5.87960,3077.080,3417.240,7.3667,1.6902,2.2004,659.61
775.000,5.67760,3120.060,3472.320,7.4390,1.7022,2.2067,670.57
800.000,5.49010,3163.300,3527.590,7.5092,1.7153,2.2150,681.24
825.000,5.31520,3206.810,3583.080,7.5775,1.7292,2.2248,691.65
850.000,5.15180,3250.630,3638.840,7.6441,1.7438,2.2360,701.83
900.000,4.85470,3339.290,3751.260,7.7726,1.7747,2.2613,721.53
950.000,4.59120,3429.400,3865.020,7.8956,1.8070,2.2893,740.48
1000.000,4.35580,3521.060,3980.220,8.0137,1.8401,2.3191,758.77
1050.000,4.14390,3614.310,4096.940,8.1276,1.8736,2.3500,776.47
1100.000,3.95210,3709.170,4215.230,8.2377,1.9072,2.3815,793.66
1150.000,3.77770,3805.670,4335.100,8.3443,1.9406,2.4132,810.38
1200.000,3.61820,3903.780,4456.540,8.4476,1.9735,2.4447,826.69
1250.000,3.47190,4003.500,4579.560,8.5481,2.0059,2.4759,842.62
1273.000,3.40850,4049.900,4636.670,8.5933,2.0205,2.4901,849.82
,,,,,,,
P=3.0MPa,,,,,,,
272.938,1001.30000,-0.880,2.116,-0.0032,4.2039,4.2059,1406.00
275.000,1001.39000,7.786,10.782,0.0284,4.1997,4.2000,1416.20
280.000,1001.32000,28.757,31.753,0.1040,4.1877,4.1892,1439.00
285.000,1000.89000,49.683,52.680,0.1781,4.1734,4.1819,1459.20
290.000,1000.14000,70.577,73.577,0.2507,4.1574,4.1771,1477.00
295.000,999.12300,91.452,94.455,0.3221,4.1397,4.1742,1492.70
300.000,997.85400,112.314,115.321,0.3923,4.1207,4.1725,1506.40
305.000,996.35900,133.170,136.181,0.4612,4.1005,4.1719,1518.30
310.000,994.65700,154.025,157.041,0.5291,4.0791,4.1720,1528.40
315.000,992.76200,174.880,177.902,0.5958,4.0569,4.1726,1536.90
320.000,990.68900,195.740,198.768,0.6615,4.0337,4.1738,1544.00
325.000,988.44800,216.606,219.641,0.7263,4.0099,4.1753,1549.70
330.000,986.04900,237.479,240.522,0.7900,3.9855,4.1772,1554.20
335.000,983.49900,258.363,261.413,0.8529,3.9605,4.1794,1557.40
340.000,980.80700,279.258,282.317,0.9148,3.9352,4.1820,1559.50
345.000,977.97800,300.166,303.234,0.9759,3.9096,4.1849,1560.60
350.000,975.01700,321.089,324.166,1.0361,3.8837,4.1882,1560.60
355.000,971.92800,342.030,345.116,1.0955,3.8578,4.1919,1559.70
360.000,968.71700,362.989,366.086,1.1542,3.8318,4.1960,1558.00
365.000,965.38500,383.969,387.077,1.2121,3.8058,4.2005,1555.40
370.000,961.93700,404.973,408.092,1.2693,3.7799,4.2056,1551.90
375.000,958.37300,426.003,429.134,1.3258,3.7542,4.2112,1547.70
380.000,954.69800,447.062,450.204,1.3816,3.7287,4.2173,1542.80
385.000,950.91100,468.153,471.308,1.4368,3.7033,4.2240,1537.10
390.000,947.01400,489.278,492.446,1.4913,3.6783,4.2314,1530.80
395.000,943.00900,510.442,513.623,1.5453,3.6535,4.2395,1523.80
400.000,938.89500,531.646,534.842,1.5986,3.6291,4.2482,1516.10
410.000,930.34400,574.195,577.420,1.7038,3.5813,4.2679,1498.90
420.000,921.35800,616.955,620.211,1.8069,3.5351,4.2910,1479.30
430.000,911.93000,659.961,663.251,1.9082,3.4904,4.3177,1457.40
440.000,902.04800,703.252,706.578,2.0078,3.4474,4.3484,1433.30
450.000,891.69300,746.871,750.235,2.1059,3.4061,4.3839,1406.90
460.000,880.84100,790.867,794.273,2.2027,3.3665,4.4245,1378.30
470.000,869.45800,835.296,838.746,2.2983,3.3286,4.4713,1347.50
480.000,857.50400,880.224,883.722,2.3930,3.2924,4.5252,1314.40
490.000,844.92400,925.728,929.278,2.4869,3.2579,4.5876,1279.00
500.000,831.65200,971.901,975.508,2.5803,3.2253,4.6603,1241.20
507.003,821.90000,1004.690,1008.340,2.6455,3.2035,4.7186,1213.10
507.003,15.00100,2603.160,2803.150,6.1856,2.3282,3.6119,504.03
510.000,14.82800,2611.440,2813.760,6.2064,2.2525,3.4692,507.69
520.000,14.30900,2637.050,2846.710,6.2704,2.0903,3.1531,518.33
530.000,13.85200,2660.630,2877.210,6.3285,1.9946,2.9578,527.55
540.000,13.44200,2682.880,2906.050,6.3825,1.9279,2.8186,535.96
550.000,13.07000,2704.160,2933.690,6.4332,1.8776,2.7122,543.81
560.000,12.72900,2724.690,2960.370,6.4812,1.8383,2.6280,551.23
570.000,12.41300,2744.620,2986.300,6.5271,1.8070,2.5601,558.31
580.000,12.11900,2764.080,3011.610,6.5712,1.7820,2.5047,565.09
590.000,11.84500,2783.150,3036.430,6.6136,1.7620,2.4590,571.61
600.000,11.58700,2801.900,3060.820,6.6546,1.7459,2.4212,577.91
610.000,11.34300,2820.390,3084.870,6.6943,1.7331,2.3896,584.01
620.000,11.11300,2838.670,3108.630,6.7330,1.7230,2.3633,589.94
630.000,10.89400,2856.780,3132.150,6.7706,1.7150,2.3411,595.71
640.000,10.68700,2874.740,3155.470,6.8073,1.7090,2.3226,601.34
650.000,10.48800,2892.580,3178.610,6.8432,1.7045,2.3070,606.85
675.000,10.03000,2936.810,3235.900,6.9297,1.6987,2.2785,620.11
700.000,9.61740,2980.690,3292.620,7.0122,1.6987,2.2608,632.77
725.000,9.24240,3024.420,3349.010,7.0914,1.7026,2.2509,644.92
750.000,8.89930,3068.110,3405.220,7.1676,1.7096,2.2466,656.64
775.000,8.58370,3111.870,3461.370,7.2412,1.7187,2.2465,667.98
800.000,8.29200,3155.770,3517.570,7.3126,1.7294,2.2496,678.98
825.000,8.02120,3199.870,3573.870,7.3819,1.7415,2.2553,689.67
850.000,7.76900,3244.200,3630.350,7.4493,1.7546,2.2630,700.10
900.000,7.31240,3333.710,3743.970,7.5792,1.7831,2.2827,720.21
950.000,6.90950,3424.510,3858.690,7.7033,1.8137,2.3068,739.49
1000.000,6.55060,3516.720,3974.690,7.8223,1.8456,2.3336,758.03
1050.000,6.22850,3610.430,4092.080,7.9368,1.8781,2.3621,775.95
1100.000,5.93770,3705.680,4210.930,8.0474,1.9110,2.3918,793.31
1150.000,5.67360,3802.500,4331.270,8.1544,1.9438,2.4220,810.18
1200.000,5.43250,3900.900,4453.130,8.2581,1.9763,2.4524,826.61
1250.000,5.21160,4000.860,4576.510,8.3588,2.0083,2.4826,842.64
1273.000,5.11600,4047.370,4633.760,8.4042,2.0228,2.4964,849.89
,,,,,,,
P=4.0MPa,,,,,,,
272.863,1001.80000,-1.178,2.815,-0.0043,4.1995,4.2013,1407.20
275.000,1001.89000,7.794,11.787,0.0284,4.1953,4.1955,1417.80
280.000,1001.80000,28.744,32.737,0.1039,4.1835,4.1853,1440.60
285.000,1001.36000,49.650,53.645,0.1779,4.1696,4.1784,1460.80
290.000,1000.60000,70.527,74.525,0.2506,4.1537,4.1739,1478.70
295.000,999.57500,91.385,95.387,0.3219,4.1363,4.1712,1494.40
300.000,998.30000,112.232,116.239,0.3920,4.1175,4.1698,1508.10
305.000,996.80000,133.074,137.086,0.4609,4.0974,4.1693,1520.00
310.000,995.09400,153.913,157.933,0.5287,4.0762,4.1695,1530.10
315.000,993.19700,174.755,178.782,0.5954,4.0541,4.1703,1538.70
320.000,991.12300,195.601,199.636,0.6611,4.0311,4.1715,1545.80
325.000,988.88100,216.453,220.498,0.7258,4.0074,4.1731,1551.50
330.000,986.48200,237.313,241.368,0.7895,3.9831,4.1750,1556.00
335.000,983.93400,258.183,262.248,0.8523,3.9583,4.1773,1559.30
340.000,981.24400,279.064,283.141,0.9142,3.9331,4.1798,1561.40
345.000,978.41700,299.959,304.047,0.9753,3.9076,4.1828,1562.50
350.000,975.45900,320.869,324.969,1.0355,3.8818,4.1860,1562.60
355.000,972.37400,341.795,345.908,1.0949,3.8560,4.1897,1561.70
360.000,969.16700,362.740,366.867,1.1535,3.8301,4.1938,1560.00
365.000,965.84100,383.706,387.847,1.2114,3.8042,4.1983,1557.40
370.000,962.39800,404.695,408.851,1.2685,3.7784,4.2034,1554.00
375.000,958.84100,425.710,429.882,1.3250,3.7527,4.2089,1549.90
380.000,955.17200,446.753,450.941,1.3808,3.7272,4.2150,1545.00
385.000,951.39300,467.828,472.032,1.4359,3.7020,4.2217,1539.40
390.000,947.50500,488.937,493.159,1.4904,3.6770,4.2290,1533.10
395.000,943.50800,510.084,514.323,1.5444,3.6523,4.2369,1526.10
400.000,939.40400,531.271,535.529,1.5977,3.6279,4.2456,1518.50
410.000,930.87300,573.783,578.080,1.7028,3.5803,4.2651,1501.40
420.000,921.91100,616.503,620.842,1.8058,3.5341,4.2879,1482.00
430.000,912.51100,659.466,663.849,1.9070,3.4896,4.3143,1460.20
440.000,902.66000,702.709,707.140,2.0065,3.4466,4.3447,1436.20
450.000,892.34200,746.275,750.758,2.1046,3.4054,4.3796,1410.00
460.000,881.53100,790.213,794.750,2.2012,3.3658,4.4198,1381.60
470.000,870.19600,834.577,839.173,2.2968,3.3279,4.4658,1351.00
480.000,858.29600,879.430,884.091,2.3913,3.2918,4.5189,1318.20
490.000,845.78200,924.849,929.578,2.4851,3.2573,4.5802,1283.10
500.000,832.58600,970.923,975.728,2.5784,3.2247,4.6515,1245.60
510.000,818.62700,1017.760,1022.650,2.6713,3.1939,4.7352,1205.50
520.000,803.79600,1065.510,1070.480,2.7642,3.1651,4.8345,1162.50
523.504,798.36800,1082.480,1087.490,2.7968,3.1555,4.8739,1146.80
523.504,20.09000,2601.720,2800.820,6.0696,2.4686,4.0203,501.55
530.000,19.55300,2621.170,2825.750,6.1169,2.3067,3.6795,509.97
540.000,18.83100,2648.360,2860.770,6.1824,2.1565,3.3517,520.97
550.000,18.20200,2673.380,2893.140,6.2418,2.0595,3.1346,530.63
560.000,17.64200,2696.920,2923.650,6.2968,1.9887,2.9751,539.46
570.000,17.13600,2719.340,2952.760,6.3483,1.9342,2.8518,547.68
580.000,16.67500,2740.890,2980.770,6.3970,1.8909,2.7536,555.42
590.000,16.25100,2761.750,3007.900,6.4434,1.8562,2.6742,562.77
600.000,15.85700,2782.050,3034.300,6.4878,1.8282,2.6090,569.79
610.000,15.49100,2801.900,3060.110,6.5304,1.8055,2.5551,576.53
620.000,15.14700,2821.360,3085.430,6.5716,1.7871,2.5102,583.02
630.000,14.82500,2840.520,3110.340,6.6114,1.7722,2.4725,589.29
640.000,14.52000,2859.430,3134.900,6.6501,1.7602,2.4408,595.37
650.000,14.23200,2878.110,3159.170,6.6878,1.7506,2.4139,601.27
675.000,13.57200,2924.120,3218.850,6.7778,1.7349,2.3634,615.39
700.000,12.98500,2969.430,3277.490,6.8632,1.7278,2.3300,628.73
725.000,12.45600,3014.320,3335.450,6.9445,1.7266,2.3084,641.44
750.000,11.97600,3058.980,3392.980,7.0225,1.7295,2.2952,653.63
775.000,11.53700,3103.550,3450.260,7.0977,1.7356,2.2881,665.36
800.000,11.13400,3148.150,3507.420,7.1702,1.7439,2.2856,676.69
825.000,10.76100,3192.850,3564.570,7.2406,1.7540,2.2867,687.68
850.000,10.41500,3237.710,3621.780,7.3089,1.7655,2.2906,698.36
900.000,9.79100,3328.090,3736.630,7.4402,1.7916,2.3047,718.89
950.000,9.24300,3419.580,3852.340,7.5653,1.8205,2.3245,738.49
1000.000,8.75680,3512.360,3969.150,7.6851,1.8511,2.3482,757.30
1050.000,8.32170,3606.530,4087.200,7.8003,1.8827,2.3744,775.43
1100.000,7.92960,3702.180,4206.610,7.9114,1.9148,2.4022,792.97
1150.000,7.57420,3799.330,4327.440,8.0188,1.9471,2.4309,809.98
1200.000,7.25040,3898.020,4449.710,8.1229,1.9791,2.4601,826.53
1250.000,6.95380,3998.220,4573.450,8.2239,2.0107,2.4893,842.66
1273.000,6.82560,4044.830,4630.860,8.2694,2.0251,2.5027,849.95
,,,,,,,
P=5.0MPa,,,,,,,
272.788,1002.30000,-1.475,3.513,-0.0054,4.1950,4.1967,1408.40
275.000,1002.38000,7.802,12.790,0.0284,4.1908,4.1910,1419.40
280.000,1002.28000,28.731,33.719,0.1039,4.1794,4.1813,1442.20
285.000,1001.82000,49.618,54.609,0.1778,4.1657,4.1749,1462.40
290.000,1001.06000,70.477,75.472,0.2504,4.1501,4.1707,1480.30
295.000,1000.03000,91.319,96.319,0.3217,4.1329,4.1683,1496.00
300.000,998.74500,112.150,117.157,0.3917,4.1142,4.1670,1509.80
305.000,997.24000,132.977,137.991,0.4606,4.0943,4.1667,1521.70
310.000,995.53000,153.802,158.825,0.5283,4.0733,4.1670,1531.80
315.000,993.63100,174.630,179.662,0.5950,4.0514,4.1679,1540.40
320.000,991.55500,195.462,200.505,0.6607,4.0285,4.1692,1547.60
325.000,989.31300,216.300,221.354,0.7253,4.0050,4.1708,1553.30
330.000,986.91500,237.147,242.214,0.7890,3.9808,4.1728,1557.80
335.000,984.36800,258.004,263.083,0.8518,3.9561,4.1751,1561.10
340.000,981.67900,278.872,283.965,0.9136,3.9310,4.1777,1563.30
345.000,978.85500,299.753,304.861,0.9747,3.9055,4.1806,1564.40
350.000,975.90000,320.649,325.772,1.0348,3.8799,4.1839,1564.50
355.000,972.81900,341.561,346.701,1.0942,3.8541,4.1876,1563.70
360.000,969.61700,362.492,367.648,1.1528,3.8283,4.1916,1562.00
365.000,966.29500,383.443,388.618,1.2106,3.8025,4.1961,1559.50
370.000,962.85800,404.418,409.611,1.2678,3.7768,4.2011,1556.10
